klub,dzielnica,source,kort,nawierzchnia,pora_dnia,typ_dnia,slotow,zajete,wolne,oblozenie_pct
San Padel,Ursynów,playtomic,Padel 2,indoor,popoludnie (14-18),weekend,10,8,2,80.0
San Padel,Ursynów,playtomic,Padel 2,indoor,wieczor (18-22),weekend,10,2,8,20.0
San Padel,Ursynów,playtomic,Padel 2,indoor,noc,weekend,5,5,0,100.0
San Padel,Ursynów,playtomic,Padel 3,indoor,rano (6-10),weekend,1,1,0,100.0
San Padel,Ursynów,playtomic,Padel 3,indoor,poludnie (10-14),weekend,9,7,2,77.8
San Padel,Ursynów,playtomic,Padel 3,indoor,popoludnie (14-18),weekend,10,7,3,70.0
San Padel,Ursynów,playtomic,Padel 3,indoor,wieczor (18-22),weekend,10,6,4,60.0
San Padel,Ursynów,playtomic,Padel 3,indoor,noc,weekend,5,5,0,100.0
San Padel,Ursynów,playtomic,Padel 4,indoor,rano (6-10),weekend,1,1,0,100.0
San Padel,Ursynów,playtomic,Padel 4,indoor,poludnie (10-14),weekend,9,7,2,77.8
San Padel,Ursynów,playtomic,Padel 4,indoor,popoludnie (14-18),weekend,10,10,0,100.0
San Padel,Ursynów,playtomic,Padel 4,indoor,wieczor (18-22),weekend,10,4,6,40.0
San Padel,Ursynów,playtomic,Padel 4,indoor,noc,weekend,5,5,0,100.0
