klub,dzielnica,source,kort,nawierzchnia,pora_dnia,typ_dnia,slotow,zajete,wolne,oblozenie_pct
Padlovnia,Ursynów,kluby_org,"Hala 3
 Hala",indoor,popoludnie (14-18),tydzien,1,1,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 3
 Hala",indoor,wieczor (18-22),tydzien,4,3,1,75.0
Padlovnia,Ursynów,kluby_org,"Hala 3
 Hala",indoor,noc,tydzien,4,0,4,0.0
Padlovnia,Ursynów,kluby_org,"Hala 4
 Hala",indoor,rano (6-10),tydzien,4,4,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 4
 Hala",indoor,poludnie (10-14),tydzien,2,2,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 4
 Hala",indoor,popoludnie (14-18),tydzien,3,3,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 4
 Hala",indoor,wieczor (18-22),tydzien,4,4,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 4
 Hala",indoor,noc,tydzien,4,0,4,0.0
Padlovnia,Ursynów,kluby_org,"Hala 5
 Hala",indoor,rano (6-10),tydzien,1,1,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 5
 Hala",indoor,poludnie (10-14),tydzien,1,1,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 5
 Hala",indoor,popoludnie (14-18),tydzien,2,2,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 5
 Hala",indoor,wieczor (18-22),tydzien,3,3,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 5
 Hala",indoor,noc,tydzien,3,0,3,0.0
Padlovnia,Ursynów,kluby_org,"Hala 6
 Hala",indoor,rano (6-10),tydzien,1,1,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 6
 Hala",indoor,wieczor (18-22),tydzien,2,2,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 6
 Hala",indoor,noc,tydzien,3,0,3,0.0
Padlovnia,Ursynów,kluby_org,"Hala 7
 Hala",indoor,rano (6-10),tydzien,1,1,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 7
 Hala",indoor,noc,tydzien,2,0,2,0.0
RQT Spot,Bielany,playtomic,Padel 1 (kryty),indoor,rano (6-10),tydzien,4,0,4,0.0
RQT Spot,Bielany,playtomic,Padel 1 (kryty),indoor,poludnie (10-14),tydzien,8,1,7,12.5
RQT Spot,Bielany,playtomic,Padel 1 (kryty),indoor,popoludnie (14-18),tydzien,8,6,2,75.0
RQT Spot,Bielany,playtomic,Padel 1 (kryty),indoor,wieczor (18-22),tydzien,8,4,4,50.0
RQT Spot,Bielany,playtomic,Padel 1 (kryty),indoor,noc,tydzien,4,4,0,100.0
RQT Spot,Bielany,playtomic,Padel 10 (zewnętrzny) 1,outdoor,rano (6-10),tydzien,4,0,4,0.0
RQT Spot,Bielany,playtomic,Padel 10 (zewnętrzny) 1,outdoor,poludnie (10-14),tydzien,8,0,8,0.0
RQT Spot,Bielany,playtomic,Padel 10 (zewnętrzny) 1,outdoor,popoludnie (14-18),tydzien,8,3,5,37.5
RQT Spot,Bielany,playtomic,Padel 10 (zewnętrzny) 1,outdoor,wieczor (18-22),tydzien,8,4,4,50.0
RQT Spot,Bielany,playtomic,Padel 10 (zewnętrzny) 1,outdoor,noc,tydzien,4,4,0,100.0
RQT Spot,Bielany,playtomic,Padel 2 (kryty),indoor,rano (6-10),tydzien,4,0,4,0.0
RQT Spot,Bielany,playtomic,Padel 2 (kryty),indoor,poludnie (10-14),tydzien,8,1,7,12.5
RQT Spot,Bielany,playtomic,Padel 2 (kryty),indoor,popoludnie (14-18),tydzien,8,8,0,100.0
